subject_id,prompt_file,answer_file,p50_px,p50_py,p50_pz,gt_spend_papaya,gt_spend_axolotl,gt_spend_quipu,gt_cash
402,narrative_prompt_subject402.txt,narrative_answer_subject402.txt,1.060445387,2.88184438,1.023541453,42.52,20.17,37.05,0.26
405,narrative_prompt_subject405.txt,narrative_answer_subject405.txt,1.041666667,1.426533524,1.700680272,58.75,18.69,22.45,0.11
407,narrative_prompt_subject407.txt,narrative_answer_subject407.txt,4.048582996,1.315789474,1.639344262,46.56,33.29,19.84,0.31
408,narrative_prompt_subject408.txt,narrative_answer_subject408.txt,1.937984496,1.207729469,1.512859304,24.61,52.66,22.39,0.34
409,narrative_prompt_subject409.txt,narrative_answer_subject409.txt,1.228501229,1.501501502,1.083423619,30.59,38.14,31.09,0.18
410,narrative_prompt_subject410.txt,narrative_answer_subject410.txt,9.615384615,1.19760479,1.091703057,0.0,53.41,46.07,0.52
413,narrative_prompt_subject413.txt,narrative_answer_subject413.txt,1.686340641,1.483679525,1.666666667,35.92,29.97,33.83,0.28
417,narrative_prompt_subject417.txt,narrative_answer_subject417.txt,2.702702703,1.242236025,9.900990099,32.7,16.4,50.5,0.4
418,narrative_prompt_subject418.txt,narrative_answer_subject418.txt,1.779359431,1.117318436,1.733102253,39.68,22.12,37.95,0.25
422,narrative_prompt_subject422.txt,narrative_answer_subject422.txt,6.896551724,2.83286119,1.029866117,0.0,46.18,53.55,0.27
423,narrative_prompt_subject423.txt,narrative_answer_subject423.txt,1.858736059,1.976284585,1.890359168,34.39,28.46,36.86,0.29
424,narrative_prompt_subject424.txt,narrative_answer_subject424.txt,9.708737864,1.001001001,1.336898396,0.97,98.8,0.13,0.1
426,narrative_prompt_subject426.txt,narrative_answer_subject426.txt,1.36425648,1.766784452,2.941176471,68.76,17.49,13.53,0.22
427,narrative_prompt_subject427.txt,narrative_answer_subject427.txt,1.610305958,1.694915254,1.19047619,0.16,0.85,98.69,0.3
429,narrative_prompt_subject429.txt,narrative_answer_subject429.txt,1.118568233,1.540832049,1.776198934,25.17,38.83,35.88,0.12
430,narrative_prompt_subject430.txt,narrative_answer_subject430.txt,1.246882793,1.248439451,1.34589502,33.04,29.59,37.28,0.09
431,narrative_prompt_subject431.txt,narrative_answer_subject431.txt,6.849315068,1.154734411,1.35501355,28.77,44.23,26.56,0.44
434,narrative_prompt_subject434.txt,narrative_answer_subject434.txt,4.62962963,1.677852349,1.655629139,0.0,50.67,49.17,0.16
436,narrative_prompt_subject436.txt,narrative_answer_subject436.txt,1.351351351,3.412969283,1.234567901,22.97,56.31,20.37,0.35
437,narrative_prompt_subject437.txt,narrative_answer_subject437.txt,1.862197393,1.183431953,1.340482574,0.93,95.38,3.49,0.2
438,narrative_prompt_subject438.txt,narrative_answer_subject438.txt,1.184834123,4.366812227,1.061571125,35.55,36.24,27.92,0.29
439,narrative_prompt_subject439.txt,narrative_answer_subject439.txt,1.555209953,6.451612903,1.545595054,38.57,25.81,35.24,0.38
440,narrative_prompt_subject440.txt,narrative_answer_subject440.txt,2.493765586,1.6,1.754385965,13.22,41.76,44.74,0.28
441,narrative_prompt_subject441.txt,narrative_answer_subject441.txt,1.071811361,8.849557522,2.570694087,38.91,12.39,48.33,0.37
442,narrative_prompt_subject442.txt,narrative_answer_subject442.txt,1.109877913,1.215066829,1.176470588,65.82,0.24,33.76,0.18
443,narrative_prompt_subject443.txt,narrative_answer_subject443.txt,1.84501845,9.345794393,3.731343284,49.82,3.74,45.15,1.29
501,narrative_prompt_subject501.txt,narrative_answer_subject501.txt,1.893939394,1.068376068,1.004016064,78.6,11.11,10.14,0.15
502,narrative_prompt_subject502.txt,narrative_answer_subject502.txt,1.579778831,1.083423619,1.177856302,31.6,33.59,34.51,0.3
510,narrative_prompt_subject510.txt,narrative_answer_subject510.txt,5.405405405,1.901140684,2.197802198,21.08,34.98,43.3,0.64
513,narrative_prompt_subject513.txt,narrative_answer_subject513.txt,1.824817518,8.333333333,1.636661211,27.92,34.17,36.99,0.92
517,narrative_prompt_subject517.txt,narrative_answer_subject517.txt,3.802281369,1.196172249,1.280409731,23.19,63.4,13.06,0.35
520,narrative_prompt_subject520.txt,narrative_answer_subject520.txt,1.508295626,3.267973856,1.742160279,26.55,47.71,25.26,0.48
522,narrative_prompt_subject522.txt,narrative_answer_subject522.txt,1.096491228,1.949317739,1.168224299,32.68,33.14,33.88,0.3
524,narrative_prompt_subject524.txt,narrative_answer_subject524.txt,3.663003663,4.566210046,1.592356688,0.0,36.99,62.74,0.27
527,narrative_prompt_subject527.txt,narrative_answer_subject527.txt,3.039513678,1.620745543,2.577319588,40.43,22.85,36.6,0.12
529,narrative_prompt_subject529.txt,narrative_answer_subject529.txt,5.988023952,1.164144354,1.422475107,0.6,49.83,49.5,0.07
530,narrative_prompt_subject530.txt,narrative_answer_subject530.txt,2.487562189,1.305483029,1.897533207,0.25,56.92,42.5,0.33
536,narrative_prompt_subject536.txt,narrative_answer_subject536.txt,1.703577513,1.597444089,1.074113856,38.16,38.02,23.52,0.3
540,narrative_prompt_subject540.txt,narrative_answer_subject540.txt,1.222493888,1.945525292,1.47275405,31.05,40.86,27.84,0.25
541,narrative_prompt_subject541.txt,narrative_answer_subject541.txt,9.803921569,2.487562189,1.138952164,0.0,0.25,98.97,0.78
542,narrative_prompt_subject542.txt,narrative_answer_subject542.txt,1.84501845,1.545595054,1.479289941,35.98,30.91,32.84,0.27
543,narrative_prompt_subject543.txt,narrative_answer_subject543.txt,1.092896175,1.011122346,5.263157895,45.25,50.86,3.68,0.21
601,narrative_prompt_subject601.txt,narrative_answer_subject601.txt,1.128668172,1.834862385,1.941747573,33.86,27.71,38.25,0.18
602,narrative_prompt_subject602.txt,narrative_answer_subject602.txt,1.508295626,1.19047619,1.739130435,33.33,26.43,40.0,0.24
603,narrative_prompt_subject603.txt,narrative_answer_subject603.txt,1.153402537,1.36239782,1.312335958,38.87,29.29,31.63,0.21
604,narrative_prompt_subject604.txt,narrative_answer_subject604.txt,1.508295626,1.543209877,2.074688797,38.01,38.58,23.24,0.17
605,narrative_prompt_subject605.txt,narrative_answer_subject605.txt,2.673796791,9.009009009,1.336898396,1.34,1.8,96.39,0.47
606,narrative_prompt_subject606.txt,narrative_answer_subject606.txt,1.45137881,1.501501502,1.453488372,39.48,30.93,29.51,0.08
607,narrative_prompt_subject607.txt,narrative_answer_subject607.txt,1.529051988,1.416430595,3.571428571,23.09,40.65,35.71,0.55
608,narrative_prompt_subject608.txt,narrative_answer_subject608.txt,1.901140684,1.043841336,1.043841336,0.0,55.43,44.36,0.21
609,narrative_prompt_subject609.txt,narrative_answer_subject609.txt,1.445086705,2.392344498,1.652892562,23.12,45.22,31.4,0.26
610,narrative_prompt_subject610.txt,narrative_answer_subject610.txt,2.096436059,1.182033097,1.096491228,29.98,35.82,33.88,0.32
611,narrative_prompt_subject611.txt,narrative_answer_subject611.txt,3.802281369,1.324503311,1.285347044,0.38,49.93,49.49,0.2
612,narrative_prompt_subject612.txt,narrative_answer_subject612.txt,1.404494382,1.402524544,2.96735905,14.04,27.35,58.46,0.15
613,narrative_prompt_subject613.txt,narrative_answer_subject613.txt,2.169197397,1.6,1.213592233,2.17,49.76,47.82,0.25
614,narrative_prompt_subject614.txt,narrative_answer_subject614.txt,1.642036125,4.975124378,2.016129032,98.03,1.0,0.4,0.57
615,narrative_prompt_subject615.txt,narrative_answer_subject615.txt,1.449275362,1.27064803,2.777777778,28.7,22.87,48.33,0.1
616,narrative_prompt_subject616.txt,narrative_answer_subject616.txt,2.232142857,1.410437236,1.529051988,42.86,27.36,29.51,0.27
617,narrative_prompt_subject617.txt,narrative_answer_subject617.txt,1.264222503,6.578947368,1.050420168,51.07,33.55,15.02,0.36
618,narrative_prompt_subject618.txt,narrative_answer_subject618.txt,1.404494382,4.62962963,1.540832049,21.63,46.3,31.43,0.64
619,narrative_prompt_subject619.txt,narrative_answer_subject619.txt,1.336898396,1.445086705,4.545454545,31.02,17.63,50.91,0.44
620,narrative_prompt_subject620.txt,narrative_answer_subject620.txt,1.386962552,1.291989664,1.156069364,0.14,0.13,99.54,0.19
621,narrative_prompt_subject621.txt,narrative_answer_subject621.txt,1.042752868,2.358490566,9.900990099,51.93,47.64,0.0,0.43
622,narrative_prompt_subject622.txt,narrative_answer_subject622.txt,1.219512195,4.87804878,1.367989056,28.17,53.17,18.33,0.33
623,narrative_prompt_subject623.txt,narrative_answer_subject623.txt,1.703577513,3.355704698,1.18623962,34.07,42.62,22.78,0.53
624,narrative_prompt_subject624.txt,narrative_answer_subject624.txt,1.897533207,1.117318436,1.154734411,46.3,27.15,26.33,0.22
625,narrative_prompt_subject625.txt,narrative_answer_subject625.txt,1.680672269,1.302083333,2.433090024,29.58,31.9,38.2,0.32
626,narrative_prompt_subject626.txt,narrative_answer_subject626.txt,1.023541453,1.051524711,1.129943503,32.96,32.39,34.58,0.07
627,narrative_prompt_subject627.txt,narrative_answer_subject627.txt,1.168224299,2.906976744,1.964636542,94.63,3.2,1.77,0.4
628,narrative_prompt_subject628.txt,narrative_answer_subject628.txt,1.35501355,1.769911504,1.02145046,26.69,52.74,20.43,0.14
629,narrative_prompt_subject629.txt,narrative_answer_subject629.txt,1.594896332,1.226993865,2.049180328,0.96,98.65,0.2,0.19
630,narrative_prompt_subject630.txt,narrative_answer_subject630.txt,1.838235294,3.891050584,1.956947162,47.61,0.39,51.86,0.14
631,narrative_prompt_subject631.txt,narrative_answer_subject631.txt,1.321003963,1.785714286,1.739130435,26.42,37.86,35.48,0.24
632,narrative_prompt_subject632.txt,narrative_answer_subject632.txt,1.079913607,1.919385797,2.232142857,16.31,37.43,45.98,0.28
700,narrative_prompt_subject700.txt,narrative_answer_subject700.txt,1.142857143,1.10864745,1.025641026,33.94,34.81,30.97,0.28
701,narrative_prompt_subject701.txt,narrative_answer_subject701.txt,9.345794393,1.206272618,1.070663812,11.21,46.32,41.65,0.82
702,narrative_prompt_subject702.txt,narrative_answer_subject702.txt,4.098360656,1.098901099,1.248439451,40.98,38.46,20.22,0.34
703,narrative_prompt_subject703.txt,narrative_answer_subject703.txt,1.305483029,1.438848921,1.76056338,29.11,31.94,38.91,0.04
704,narrative_prompt_subject704.txt,narrative_answer_subject704.txt,1.239157373,3.144654088,2.0,19.08,49.69,30.8,0.43
705,narrative_prompt_subject705.txt,narrative_answer_subject705.txt,2.487562189,1.283697047,4.166666667,27.61,22.85,49.17,0.37
706,narrative_prompt_subject706.txt,narrative_answer_subject706.txt,1.207729469,7.142857143,5.747126437,32.0,41.43,25.86,0.71
707,narrative_prompt_subject707.txt,narrative_answer_subject707.txt,1.328021248,1.002004008,2.564102564,9.96,74.45,15.38,0.21
708,narrative_prompt_subject708.txt,narrative_answer_subject708.txt,4.62962963,3.759398496,1.739130435,31.94,29.7,37.74,0.62
800,narrative_prompt_subject800.txt,narrative_answer_subject800.txt,1.104972376,1.228501229,1.390820584,46.85,27.03,25.87,0.25
801,narrative_prompt_subject801.txt,narrative_answer_subject801.txt,2.906976744,1.876172608,9.090909091,19.19,24.39,55.45,0.97
802,narrative_prompt_subject802.txt,narrative_answer_subject802.txt,3.95256917,1.420454545,6.802721088,33.6,12.78,53.06,0.56
803,narrative_prompt_subject803.txt,narrative_answer_subject803.txt,1.005025126,6.329113924,1.490312966,26.43,62.66,10.28,0.63
804,narrative_prompt_subject804.txt,narrative_answer_subject804.txt,1.912045889,1.647446458,1.024590164,41.3,35.75,22.75,0.2
805,narrative_prompt_subject805.txt,narrative_answer_subject805.txt,2.096436059,2.008032129,1.012145749,32.91,28.31,38.46,0.32
806,narrative_prompt_subject806.txt,narrative_answer_subject806.txt,2.518891688,1.453488372,1.923076923,33.25,47.38,19.23,0.14
807,narrative_prompt_subject807.txt,narrative_answer_subject807.txt,2.680965147,1.063829787,1.915708812,46.65,18.94,34.1,0.31
808,narrative_prompt_subject808.txt,narrative_answer_subject808.txt,1.615508885,1.677852349,1.014198783,29.08,31.04,39.76,0.12
809,narrative_prompt_subject809.txt,narrative_answer_subject809.txt,1.234567901,1.312335958,1.477104874,34.94,37.8,27.03,0.23
810,narrative_prompt_subject810.txt,narrative_answer_subject810.txt,1.160092807,1.351351351,1.620745543,26.91,37.16,35.66,0.27
811,narrative_prompt_subject811.txt,narrative_answer_subject811.txt,1.650165017,1.730103806,1.620745543,34.49,17.3,47.97,0.24
812,narrative_prompt_subject812.txt,narrative_answer_subject812.txt,1.236093943,1.886792453,1.140250855,29.05,43.4,27.37,0.18
900,narrative_prompt_subject900.txt,narrative_answer_subject900.txt,1.620745543,1.686340641,1.418439716,23.34,25.46,51.06,0.14
901,narrative_prompt_subject901.txt,narrative_answer_subject901.txt,1.805054152,1.141552511,2.857142857,48.92,48.74,2.0,0.34
902,narrative_prompt_subject902.txt,narrative_answer_subject902.txt,1.644736842,1.692047377,1.079913607,37.99,34.01,27.86,0.14
903,narrative_prompt_subject903.txt,narrative_answer_subject903.txt,1.184834123,1.233045623,1.494768311,99.17,0.49,0.15,0.19
904,narrative_prompt_subject904.txt,narrative_answer_subject904.txt,2.666666667,1.468428781,2.78551532,45.6,25.7,28.41,0.29
905,narrative_prompt_subject905.txt,narrative_answer_subject905.txt,1.689189189,1.369863014,1.545595054,9.46,59.73,30.45,0.36
906,narrative_prompt_subject906.txt,narrative_answer_subject906.txt,1.076426265,1.051524711,1.100110011,57.05,21.87,20.9,0.18
907,narrative_prompt_subject907.txt,narrative_answer_subject907.txt,1.042752868,5.649717514,1.785714286,20.13,44.07,35.0,0.8
908,narrative_prompt_subject908.txt,narrative_answer_subject908.txt,1.443001443,2.336448598,1.383125864,32.32,22.9,44.54,0.24
909,narrative_prompt_subject909.txt,narrative_answer_subject909.txt,1.037344398,5.319148936,1.218026797,12.55,71.81,15.35,0.29
910,narrative_prompt_subject910.txt,narrative_answer_subject910.txt,1.400560224,1.226993865,1.006036217,38.8,28.34,32.7,0.16
911,narrative_prompt_subject911.txt,narrative_answer_subject911.txt,1.008064516,1.038421599,1.587301587,26.81,30.22,42.7,0.27
912,narrative_prompt_subject912.txt,narrative_answer_subject912.txt,1.449275362,1.08577633,5.347593583,28.99,70.58,0.0,0.43
913,narrative_prompt_subject913.txt,narrative_answer_subject913.txt,5.952380952,2.304147465,1.522070015,8.93,47.0,43.23,0.84
914,narrative_prompt_subject914.txt,narrative_answer_subject914.txt,1.869158879,1.019367992,1.189060642,45.42,25.18,29.13,0.27
915,narrative_prompt_subject915.txt,narrative_answer_subject915.txt,1.886792453,1.328021248,5.050505051,54.72,44.62,0.0,0.66
916,narrative_prompt_subject916.txt,narrative_answer_subject916.txt,3.472222222,6.060606061,1.302083333,67.71,0.61,31.51,0.17
917,narrative_prompt_subject917.txt,narrative_answer_subject917.txt,1.168224299,3.355704698,8.26446281,46.73,33.89,19.01,0.37
918,narrative_prompt_subject918.txt,narrative_answer_subject918.txt,2.237136465,1.13507378,1.094091904,45.41,29.06,25.38,0.15
919,narrative_prompt_subject919.txt,narrative_answer_subject919.txt,1.506024096,1.872659176,1.38121547,28.92,39.89,30.94,0.25
920,narrative_prompt_subject920.txt,narrative_answer_subject920.txt,1.47275405,1.002004008,5.988023952,22.09,17.84,59.88,0.19
921,narrative_prompt_subject921.txt,narrative_answer_subject921.txt,8.620689655,1.187648456,1.328021248,41.38,28.27,30.01,0.34
922,narrative_prompt_subject922.txt,narrative_answer_subject922.txt,6.289308176,1.410437236,1.132502831,33.33,26.23,39.98,0.46
923,narrative_prompt_subject923.txt,narrative_answer_subject923.txt,3.875968992,1.897533207,1.445086705,29.46,27.13,43.06,0.35
